Metric,2019_S1,2019_S2,2019_S3,2019_S4,2020_S1,2020_S2,2020_S3,2020_S4,2021_S1,2021_S2,2021_S3,2021_S4,2022_S1,2022_S2,2022_S3,2022_S4,2023_S1,2023_S2,2023_S3,2023_S4,2024_S1,2024_S2,2024_S3,2024_S4,2025_S1
Parc_global,46175919,45900257,45522938,45425533,45142958,44411730,45221551,45555673,46046797,45839178,46797189,47015757,47671484,47665225,48504701,49018766,49308763,48915484,50572535,51522147,51972642,52221043,53454905,54050526,54266593
GSM_Mobilis,3291053,3122296,2974047,2892052,2799628,2705911,2547199,2420152,2300912,2182423,2135800,2034645,1944238,1867355,1714513,1656042,1591141,1516198,1469557,1405347,1351230,1300270,1247245,1199007,1155314
3G4G_Mobilis,14724728,14860375,15202983,15741319,16074708,15948419,16210581,16554526,16957532,17038348,17840461,17795290,18360036,18500511,19067994,19442730,19769124,19736449,20638340,21112620,21311684,21358729,21749486,21902809,21870201
GSM_Djezzi,4279314,3971344,3696047,3436537,3212137,3053501,2984038,2801749,2597879,2258788,2019052,1885610,1781740,1684097,1593113,1501136,1374532,1234480,1160304,1097949,1044860,996358,952021,902039,851561
3G4G_Djezzi,11784231,11790148,11376947,11271088,11012007,10898846,11489506,11561353,11777695,11956651,12322460,12708008,12880198,12988339,13401864,13676739,13831042,14037717,14390348,14799710,14984797,15130749,15283266,15566995,16151849
GSM_Ooredoo,2592328,2410073,2306306,2185516,1763580,1684535,1620541,1561210,1483195,1423228,1380838,1315303,1260038,1206393,1155408,1103083,1055770,1020197,972657,928619,722194,655618,626204,628667,565368
3G4G_Ooredoo,9471217,9746021,9966528,9899021,10280898,10120518,10369686,10656683,10929584,10979740,11098578,11276901,11445234,11418530,11571809,11639036,11687154,11370443,11941329,12177902,12557877,12779319,13596683,13851009,13672300
Total_Prepaye,40929667,32683010,40658966,40635183,41278299,40670308,43047695,43298886,43689798,43412518,44235481,44403382,45043842,45051676,45889336,46389101,46717817,46340308,48044587,49021941,49509218,49779839,51033362,51635596,51849818
Total_Postpaye,5426252,5157584,4863972,4790350,3864659,3741422,2173856,2256787,2356999,43412518,2561708,2612375,2627642,2613549,2615365,2629665,2590946,2575176,2527948,2500206,2463424,2441204,2421543,2414930,2416775
